2016-11-11 16:44:52.056 [http-nio-7390-exec-18] INFO  c.b.e.e.i.AccessInterceptor(57) - url=/earthshaker/user/awardList.do,params=access_token=WHbaHHIZYM,ip=114.247.25.26
2016-11-11 16:44:52.057 [http-nio-7390-exec-18] INFO  c.b.e.f.common.aop.LoggerAspect(40) - params=[String fissure.common.CommonConfig.getAccessTokenUrl()],t_id=14786801752860602,key=1478853892057
2016-11-11 16:44:52.057 [http-nio-7390-exec-18] INFO  c.b.e.f.common.aop.LoggerAspect(56) - t_id=14786801752860602,key=1478853892057,return=http://114.55.58.184:8099/user/me?access_token=,cost=0
2016-11-11 16:44:52.057 [http-nio-7390-exec-18] INFO  c.b.e.f.c.utils.RestTemplateUtils(48) - url = http://114.55.58.184:8099/user/me?access_token=WHbaHHIZYM
2016-11-11 16:44:52.189 [http-nio-7390-exec-18] INFO  c.b.e.f.c.utils.RestTemplateUtils(50) - url = http://114.55.58.184:8099/user/me?access_token=WHbaHHIZYM,result= {"id":1173992,"username":"user160405115410D2Ptn4RT","score":16868,"gold":8518,"access_token":"WHbaHHIZYM","figure_url":"http://avatars.boxfish.cn/user/1173992/figure/1472015613.jpg"}
2016-11-11 16:44:52.189 [http-nio-7390-exec-18] INFO  c.b.e.e.interceptor.AccessTokenUtils(72) - userId = 1173992
2016-11-11 16:44:52.190 [http-nio-7390-exec-18] INFO  c.b.e.f.common.aop.LoggerAspect(40) - params=[Result echoslam.controller.UserController.awardList()],t_id=14786801752860602,key=1478853892189
2016-11-11 16:44:52.190 [http-nio-7390-exec-18] INFO  c.b.e.f.common.aop.LoggerAspect(40) - params=[List echoslam.service.ActivityAwardRecordService.getClaimAwardRecordList(1173992)],t_id=14786801752860602,key=1478853892190
2016-11-11 16:44:52.190 [http-nio-7390-exec-18] INFO  c.b.e.f.common.aop.LoggerAspect(40) - params=[List echoslam.dao.ActivityAwardRecordMapper.getList(1173992)],t_id=14786801752860602,key=1478853892190
2016-11-11 16:44:52.193 [http-nio-7390-exec-18] DEBUG c.b.e.e.d.A.getList(145) - ==>  Preparing: select * from activity_award_record where user_id = ?
2016-11-11 16:44:52.193 [http-nio-7390-exec-18] DEBUG c.b.e.e.d.A.getList(145) - ==> Parameters: 1173992(String)
2016-11-11 16:44:52.196 [http-nio-7390-exec-18] DEBUG c.b.e.e.d.A.getList(145) - <==      Total: 1
2016-11-11 16:44:52.197 [http-nio-7390-exec-18] INFO  c.b.e.f.common.aop.LoggerAspect(56) - t_id=14786801752860602,key=1478853892190,return=[ActivityAwardRecord{id=506, userId='1173992', activityCode='1111', awardCode='AWARD900101', awardDesc='98元免费外教课', state='CLAIM', createtime=Fri Nov 11 14:02:23 CST 2016, updatetime=Fri Nov 11 14:02:45 CST 2016, ext1='null', ext2='null', tradeNo='AWARD9001011550694207852961'}],cost=7
2016-11-11 16:44:52.197 [http-nio-7390-exec-18] INFO  c.b.e.f.common.aop.LoggerAspect(56) - t_id=14786801752860602,key=1478853892190,return=[ActivityAwardRecord{id=506, userId='1173992', activityCode='1111', awardCode='AWARD900101', awardDesc='98元免费外教课', state='CLAIM', createtime=Fri Nov 11 14:02:23 CST 2016, updatetime=Fri Nov 11 14:02:45 CST 2016, ext1='null', ext2='null', tradeNo='AWARD9001011550694207852961'}],cost=7
2016-11-11 16:44:52.197 [http-nio-7390-exec-18] INFO  c.b.e.f.common.aop.LoggerAspect(56) - t_id=14786801752860602,key=1478853892189,return=Result{data=[{awardCode=AWARD900101, state=CLAIM, couponCode=AWARD9001011550694207852961}], returnCode=200, returnMsg='success'},cost=8
